berlin,90
hamburg,70
muenchen,65
koeln,55
frankfurt,50
stuttgart,45
duesseldorf,40
leipzig,40
dortmund,35
essen,35
bremen,30
dresden,30
hannover,30
nuernberg,25
duisburg,25
bochum,20
wuppertal,20
bielefeld,20
bonn,20
muenster,20
mannheim,18
karlsruhe,18
augsburg,18
wiesbaden,15
aachen,15
braunschweig,15
chemnitz,15
kiel,15
halle,12
magdeburg,12
freiburg,12
krefeld,12
luebeck,10
erfurt,10
rostock,10
mainz,10
kassel,10
oberhausen,10
saarbruecken,8
potsdam,8
solingen,8
leverkusen,8
oldenburg,8
heidelberg,8
darmstadt,8
regensburg,8
wuerzburg,8
wolfsburg,6
goettingen,6
heilbronn,6
ulm,6
pforzheim,6
offenbach,6
siegen,5
reutlingen,5
koblenz,5
bergisch gladbach,5
jena,5
trier,5
erlangen,5
remscheid,4
cottbus,4
schwerin,4
bamberg,4
bayreuth,4
konstanz,4
passau,4
marburg,4
giessen,3
fulda,3
celle,3
detmold,3
lueneburg,3
hameln,3
