anna,85
maria,80
emma,70
hannah,65
lena,60
leonie,55
sophia,55
marie,50
laura,50
julia,45
katharina,45
lisa,40
sarah,40
jana,40
nicole,35
claudia,35
sabine,35
petra,30
andrea,30
monika,30
martina,30
stefanie,30
christine,30
karin,25
susanne,25
eva,25
elisabeth,25
renate,25
ursula,20
helga,20
ingrid,20
gertrud,20
elke,20
heike,20
birgit,20
gabriele,20
barbara,15
angelika,15
brigitte,15
anja,15
michaela,15
melanie,15
nadine,15
tanja,15
sandra,15
manuela,15
silke,10
simone,10
doris,10
ruth,10
thomas,85
michael,80
andreas,75
peter,70
stefan,65
christian,60
martin,55
markus,55
daniel,50
alexander,50
matthias,50
frank,45
wolfgang,45
klaus,40
hans,40
karl,35
werner,35
helmut,35
gerhard,35
heinrich,30
walter,30
wilhelm,30
friedrich,25
dieter,25
joerg,25
rainer,25
bernd,25
manfred,25
norbert,20
horst,20
uwe,20
juergen,20
guenther,20
ernst,15
otto,15
hermann,15
ludwig,15
rudolf,15
max,40
felix,35
leon,35
lukas,35
jonas,30
tim,30
jan,30
paul,30
david,25
tobias,25
florian,25
philipp,25
sebastian,20
benjamin,20
moritz,20
niklas,15
elias,15
julian,15
simon,10
oliver,10
