hauptstrasse,50
bahnhofstrasse,45
schulstrasse,40
gartenstrasse,35
dorfstrasse,35
bergstrasse,30
kirchstrasse,30
waldstrasse,30
ringstrasse,25
friedhofstrasse,25
schillerstrasse,25
goethestrasse,25
lindenstrasse,25
muehlenstrasse,20
rosenstrasse,20
birkenweg,20
eichenweg,20
parkstrasse,20
mozartstrasse,20
beethovenstrasse,15
jaegerstrasse,15
bismarckstrasse,15
wilhelmstrasse,15
friedrichstrasse,15
karl-marx-strasse,15
berliner strasse,15
leipziger strasse,15
hamburger strasse,12
frankfurter strasse,12
muenchner strasse,12
koelner strasse,10
stuttgarter strasse,10
dresdner strasse,10
am markt,10
am ring,10
am park,8
am wald,8
an der kirche,8
zum bahnhof,8
im gruenen,8
tannenweg,8
fichtenweg,8
ahornweg,8
kastanienallee,8
lessingstrasse,8
herderstrasse,8
kantstrasse,6
humboldtstrasse,6
wiesenstrasse,6
feldstrasse,6
sandweg,6
steinweg,5
neuer weg,5
alter weg,5
industriestrasse,5
fabrikstrasse,5
rathausstrasse,5
marktstrasse,5
poststrasse,5
blumenstrasse,5
tulpenweg,4
nelkenweg,4
dahlienweg,4
veilchenweg,4
sonnenweg,4
mondstrasse,4
sternstrasse,4
bachstrasse,4
flussstrasse,4
seestrasse,4
