mueller,90
schmidt,85
schneider,80
fischer,75
weber,70
meyer,65
wagner,65
becker,60
schulz,60
hoffmann,55
koch,55
richter,50
wolf,50
schaefer,50
bauer,45
klein,45
zimmermann,45
braun,40
krueger,40
hartmann,40
lange,40
schmitt,35
werner,35
schwarz,35
krause,35
meier,35
lehmann,30
schmid,30
schulze,30
maier,30
koehler,25
herrmann,25
koenig,25
walter,25
huber,25
kaiser,25
fuchs,25
peters,20
lang,20
scholz,20
moeller,20
weiss,20
jung,20
hahn,20
vogel,20
friedrich,15
keller,15
guenther,15
frank,15
berger,15
winkler,15
roth,15
beck,15
lorenz,10
baumann,10
franke,10
albrecht,10
schuster,10
simon,10
ludwig,10
boehm,10
winter,10
sommer,10
kraus,10
busch,10
vogt,10
arnold,10
stein,10
brandt,10
haas,10
seidel,10
otto,10
schreiber,10
neumann,10
engel,10
horn,10
marx,10
pfeiffer,8
jansen,8
dietrich,8
pohl,8
schubert,8
kuhn,8
voigt,8
barth,8
nagel,8
schumacher,8
weidner,5
grosse,5
witt,5
kraft,5
lindner,5
ackermann,5
bach,5
