10115,15
10117,12
10119,10
10178,10
10179,10
10245,8
10247,8
10249,8
10315,6
10317,6
10405,6
10407,5
10435,5
10437,5
10439,5
10551,4
10553,4
10555,4
10557,4
10559,4
10585,4
10587,4
10589,4
10623,4
10625,4
10627,4
10629,4
20095,10
20097,8
20099,8
20144,6
20146,6
20148,6
20249,5
20251,5
20253,5
20255,5
20257,5
20259,5
22041,4
22043,4
22045,4
22047,4
22049,4
22081,4
22083,4
22085,4
30159,8
30161,6
30163,6
30165,5
30167,5
30169,5
40210,6
40211,5
40213,5
40215,5
40217,5
40219,5
44135,5
44137,5
44139,4
44141,4
44143,4
44145,4
44147,4
45127,5
45128,4
45130,4
45131,4
45133,4
48143,4
48145,4
48147,4
48149,4
50667,6
50668,5
50670,5
50672,5
50674,5
50676,5
60306,5
60308,5
60310,5
60311,5
60313,5
60314,4
60316,4
60318,4
60320,4
60322,4
70173,5
70174,4
70176,4
70178,4
70180,4
70182,4
80331,5
80333,5
80335,4
80336,4
80337,4
80339,4
01067,4
01069,4
01097,4
01099,4
01109,3
01127,3
01129,3
01139,3
01157,3
01159,3
04103,4
04105,4
04107,4
04109,4
04177,3
04179,3
04229,3
04275,3
04277,3
04279,3
